管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二ＯＯ六至Ｏ七年度預算,7230,
三月三十一日預算設有的 91 個非首長級職位，增至二ＯＯ七年三月三十一日的 92個，增幅為1個。,2670,
綱領 (1)行政長官辦公室,50.1,48.0,49.2,55.5
(2)行政會議,10.3,11.0,13.5,16.8
    經常開支 000運作開支,60397,59006,62657,72296
    ——————— ——————— ——————— ———————經常開支總額,60397,59006,62657,72296
    ——————— ——————— ——————— ———————經營帳總額,60397,59006,62657,72296
    ——————— ——————— ——————— ———————開支總額,60397,59006,62657,72296
－薪金,36935,32930,34396,38153
－津貼,2812,2913,2365,2150
－與工作有關連津貼,8,18,8,13
與員工有關連的開支 －強制性公積金供款,41,36,29,24
部門開支 －就特別委任而支付的酬金,6812,6523,5290,7628
－一般部門開支,9948,12009,13697,14184
其他費用 －行政會議非官守成員酬金,3841,4577,6872,10144
