管制人員：行政長官辦公室常任秘書長會交代本總目下的開支。 二Ｏ一一至一二年度預算,8520,
三月三十一日預算設有的 95 個非首長級職位，增至二零一二年三月三十一日的96個，增幅為1個。,3190,
綱領 (1)行政長官辦公室,65.9,64.6,64.5,67.1
(2)行政會議,18.0,18.0,18.1,18.1
    經常開支 000運作開支,83940,82591,82591,85217,
    ——————— ——————— ——————— ——————— 經常開支總額,83940,82591,82591,85217,
    ——————— ——————— ——————— ——————— 經營帳目總額,83940,82591,82591,85217,
    ——————— ——————— ——————— ——————— 開支總額,83940,82591,82591,85217,
－薪金,44704,43940,43509,44052
－津貼,2320,2380,2446,2510
－工作相關津貼,1,11,6,10
－強制性公積金供款,86,91,85,85
－公務員公積金供款,434,578,621,661
－就特別委任而支付的酬金,9848,8913,8902,9075
－一般部門開支,15570,15854,16198,18000
－行政會議非官守成員酬金,10977,10824,10824,10824
