"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2014止
的累積開支
$'000","2014-15
修訂預算開支
$'000","結餘
$'000"
"22","經營帳目","700","一般非經常開支","536","在沙洲及龍鼓洲一帶海域設立海岸庇護區",21000,18599,800,1601
"22","經營帳目","700","一般非經常開支","540","人工魚礁計劃",80100,72848,500,6752
"22","經營帳目","700","一般非經常開支","808","漁業持續發展基金",500000,0,17000,483000
"22","經營帳目","700","一般非經常開支","852","因禁止拖網捕魚而向拖網漁船船東、其僱用的本地漁工和收魚艇船東提供的一次過援助方案，以及相關的措施",1726800,1037581,38227,650992
"22","非經營帳目","600","工程","804","改善大欖郊野公園越野單車徑網絡",5700,2652,1500,1548
"22","非經營帳目","600","工程","840","在香港濕地公園建造2條木板步行道",3000,0,2175,825
"22","非經營帳目","600","工程","853","窩田小型水利工程計劃",979,0,0,979
"22","非經營帳目","600","工程","854","貝澳小型水利工程計劃",1102,0,0,1102
"22","非經營帳目","600","工程","882","重建郊野公園內的避雨亭 － 第一期",9714,0,0,9714
"22","非經營帳目","600","工程","883","重建郊野公園內的林道 － 第一期",9350,0,0,9350
"22","非經營帳目","600","工程","885","在西貢東郊野公園屬西灣的範圍內提供休憩處",9130,0,0,9130
"22","非經營帳目","603","機器、車輛及設備","811","採購1艘巡邏艇",10000,0,0,10000
"22","非經營帳目","603","機器、車輛及設備","828","採購10個界線有燈浮標",2500,0,0,2500
"22","非經營帳目","603","機器、車輛及設備","835","更換長沙灣副食品批發市場隔濾裝置的主要活動配件",2088,0,375,1713
"22","非經營帳目","603","機器、車輛及設備","836","發展密封式循環水產養殖系統",4000,0,1500,2500
"22","非經營帳目","603","機器、車輛及設備","837","更換西區副食品批發市場第一期冷卻器房冷凝器水泵控制裝置及相關配件",2320,0,522,1798
"22","非經營帳目","603","機器、車輛及設備","839","更換長沙灣副食品批發市場第3號自動清潔海水過濾器及其冷卻配件",2088,0,375,1713
"22","非經營帳目","603","機器、車輛及設備","851","採購中型氣墊船",2700,0,0,2700
"22","非經營帳目","603","機器、車輛及設備","855","擴展組件式的第三級生物安全實驗室",7000,0,0,7000
"22","非經營帳目","603","機器、車輛及設備","894","更換長沙灣副食品批發市場冷藏庫檔位冷卻系統的3套海水水泵",5220,3500,915,805
"30","非經營帳目","603","機器、車輛及設備","828","更換懲教署船隻「善衛號」",19600,0,0,19600
"30","非經營帳目","603","機器、車輛及設備","829","為勵敬懲教所購置1套低輻射性的X光身體掃描器",2860,0,0,2860
"30","非經營帳目","603","機器、車輛及設備","830","為小欖精神病治療中心購置1套低輻射性的X光身體掃描器",2860,0,0,2860
"30","非經營帳目","603","機器、車輛及設備","831","為荔枝角收押所購置1套低輻射性的X光身體掃描器",2860,0,0,2860
"30","非經營帳目","603","機器、車輛及設備","883","為喜靈洲戒毒所醫院更換傳統的X光系統為數碼X光系統",3500,0,0,3500
"30","非經營帳目","603","機器、車輛及設備","884","更換九龍運輸組最高保安級別保安巴士(AM5601)",2016,0,0,2016
"31","非經營帳目","603","機器、車輛及設備","832","更換1艘高速截擊艇(CE16)",21010,0,0,21010
"31","非經營帳目","603","機器、車輛及設備","833","更換1艘高速截擊艇(CE15)",26294,0,0,26294
"31","非經營帳目","603","機器、車輛及設備","834","更換1艘高速截擊艇(CE17)",26293,0,0,26293
"31","非經營帳目","603","機器、車輛及設備","835","更換1艘高速截擊艇(CE18)",26293,0,0,26293
"31","非經營帳目","603","機器、車輛及設備","847","為文錦渡管制站及沙頭角管制站更換2套流動X光車輛檢查系統",101440,7000,0,94440
"31","非經營帳目","603","機器、車輛及設備","865","更換1輛裝有流動X光檢查器的小型貨車(AM 5952)",3402,0,1438,1964
"31","非經營帳目","603","機器、車輛及設備","868","更換1輛裝有流動X光檢查器的小型貨車(AM 5953)",3950,0,920,3030
"31","非經營帳目","603","機器、車輛及設備","871","更換1輛裝有流動X光檢查器的小型貨車(AM 5809)",4000,2300,330,1370
"31","非經營帳目","603","機器、車輛及設備","872","更換1艘淺水巡邏船(CE12)",4400,0,440,3960
"31","非經營帳目","603","機器、車輛及設備","873","更換1艘淺水巡邏船(CE13)",4400,0,440,3960
"31","非經營帳目","603","機器、車輛及設備","874","更換1輛裝有流動X光檢查器的小型貨車(AM 5810)",4000,2300,330,1370
"31","非經營帳目","603","機器、車輛及設備","876","為機場科購置1部X光機暨改裝行李輸送帶並安裝於一號行李輸送帶",2421,130,173,2118
"31","非經營帳目","603","機器、車輛及設備","881","為機場科購置1部X光機暨改裝行李輸送帶並安裝於十四號行李輸送帶",2421,130,173,2118
"33","經營帳目","700","一般非經常開支","528","在寮屋區設置警告標誌",5000,3797,65,1138
"33","非經營帳目","603","機器、車輛及設備","849","更換萬用試驗機(容量為2000千牛頓)",4500,0,3375,1125
"37","經營帳目","700","一般非經常開支","718","放射性廢物處理工程",9800,8896,54,850
