"","","","分目(編號)
","核准項目
","核准項目預算
$’000","截至31.3.2014止的實際開支
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"全港發展","社區及對外事務","房屋－鄉郊房屋改善工程","7020HH","一九九一至九二年度新界鄉村改善及發展計劃","23000","16967","0","400"
"港島及離島發展","社區及對外事務","康樂、文化及市政設施－綜合設施","7061RG","社區重點項目計劃(離島區)－榕樹灣圖書館及南丫島歷史文物室","乙級工程","0","0","5138"
"港島及離島發展","社區及對外事務","康樂、文化及市政設施－休憩用地","7435RO","大澳改善工程(第一期)","151000","144494","3200","1080"
"港島及離島發展","社區及對外事務","康樂、文化及市政設施－休憩用地","7448RO","梅窩改善工程(第一期)","193100","0","16684","84793"
"港島及離島發展","社區及對外事務","康樂、文化及市政設施－休憩用地","7453RO","社區重點項目計劃(中西區)－美化及活化位於西區副食品批發市場附近的海濱地段","乙級工程","0","0","3200"
"港島及離島發展","社區及對外事務","康樂、文化及市政設施－體育設施","7285RS","社區重點項目計劃(離島區)－改善梅窩銀礦灣沙灘及附屬設施","乙級工程","0","0","7107"
"港島及離島發展","經濟建設","海空交通－機場","7067GI","在香港會議展覽中心旁發展政府直升機坪","59100","47221","3180","106"
"港島及離島發展","基礎建設","土木工程－土地發展","7343CL","中環填海計劃第3期工程","5761500","5235610","227580","68560"
"港島及離島發展","基礎建設","土木工程－土地發展","7487CL","東涌發展計劃第3A期－第51、52(部分)及53至56區的填海工程","712700","480860","7012","100"
"港島及離島發展","基礎建設","土木工程－土地發展","7570CL","堅尼地城綜合發展區建築物、構築物和煙囪拆卸工程","乙級工程","0","0","19080"
"港島及離島發展","基礎建設","土木工程－土地發展","7671CL","中環填海計劃第3期工程－顧問費及工地勘測","43700","42800","180","100"
"港島及離島發展","基礎建設","土木工程－土地發展","7677CL","灣仔發展計劃第2期工程","4642700","2224365","315000","200000"
"港島及離島發展","基礎建設","土木工程－土地發展","7696CL","灣仔發展計劃第2期工程－顧問費及工地勘測","111100","82596","1000","1484"
"港島及離島發展","基礎建設","土木工程－土地發展","7712CL","東涌餘下發展計劃的規劃及工程研究","44000","18227","15000","7385"
"港島及離島發展","基礎建設","土木工程－土地發展","7728CL","保存皇后碼頭","50000","33634","3301","4208"
"港島及離島發展","基礎建設","土木工程－土地發展","7770CL","港珠澳大橋香港口岸上蓋發展規劃、工程和建築研究","乙級工程","0","1600","33200"
"九龍發展","社區及對外事務","康樂、文化及市政設施－文化設施","7070RE","社區重點項目計劃(黃大仙區)－摩士公園的康樂設施改善工程","乙級工程","0","0","1100"
"九龍發展","社區及對外事務","康樂、文化及市政設施－綜合設施","7065RG","社區重點項目計劃(深水埗區)－美孚鄰舍活動中心","乙級工程","0","0","5590"
