"","","分目(編號)
","核准項目
","核准項目預算
$’000","截至31.3.2014止的實際開支
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"基礎建設","供水－食水及海水供應","9090WC","更換及修復水管工程第1階段第1期","2063400","2019443","17600","10952"
"基礎建設","供水－食水及海水供應","9092WC","西九龍填海區供水計劃第2階段－主要工程","162190","118358","3500","110"
"基礎建設","供水－食水及海水供應","9096WC","大埔白石角填海區供水計劃－第2階段第2期","162700","4606","18800","26000"
"基礎建設","供水－食水及海水供應","9174WC","更換及修復水管工程第1階段第2期","1267100","1254020","4926","1426"
"基礎建設","供水－食水及海水供應","9181WC","中環填海計劃第3期供水計劃","23600","12726","0","110"
"基礎建設","供水－食水及海水供應","9182WC","更換及修復水管工程第2階段","3156600","3037233","15000","40000"
"基礎建設","供水－食水及海水供應","9183WC","港島中區半山及以上地區供水改善計劃第2階段","70600","58439","250","110"
"基礎建設","供水－食水及海水供應","9186WC","更換及修復水管工程第3階段","5550000","4543595","490000","326860"
"基礎建設","供水－食水及海水供應","9187WC","更換及修復水管工程第3階段－勘測及詳細設計","64700","55127","100","100"
"基礎建設","供水－食水及海水供應","9189WC","更換及修復水管工程第4階段第2期","4510300","1042327","908332","980922"
"基礎建設","供水－食水及海水供應","9191WC","更換及修復水管工程第4階段第1期","6262400","2479939","1017001","1032000"
"基礎建設","供水－食水及海水供應","9192WC","大埔白石角填海區供水計劃－第2階段第1期","79800","39469","2800","1000"
"基礎建設","供水－食水及海水供應","9193WC","屯門西北區供水計劃－第1階段","30300","4835","11700","1060"
"基礎建設","供水－食水及海水供應","9195WC","搬遷鑽石山食水及海水配水庫往岩洞的可行性研究","46000","0","500","16000"
"基礎建設","供水－食水及海水供應","9197WC","屯門西北區供水計劃－第2階段","乙級工程","0","0","2120"
"基礎建設","供水－食水供應","9237WF","粉嶺公路及社山村附近進行的水管敷設工程－第2階段","225500","6865","27600","32100"
"基礎建設","供水－食水供應","9325WF","連接摩星嶺食水主配水庫及中西區低地食水供應系統的合併工程","32800","25949","0","110"
"基礎建設","供水－食水供應","9326WF","連接獅子山高地食水主配水庫及將軍澳食水主配水庫的工程","159700","150446","3000","1000"
"基礎建設","供水－食水供應","9327WF","敷設由西九龍至西營盤之西區過海海底水管及與其相關的地下喉管","354500","327097","14500","7000"
"基礎建設","供水－食水供應","9331WF","小欖至掃管灘水管敷設工程","44800","44287","13","300"
"基礎建設","供水－食水供應","9333WF","長洲食水供應改善工程","254800","5468","93517","50000"
"基礎建設","供水－食水供應","9334WF","大埔濾水廠及附屬原水和食水輸送設施擴展工程－第2期工程","6176700","504965","1010000","1021000"
"基礎建設","供水－食水供應","9338WF","粉嶺公路及社山村附近進行的水管敷設工程第1階段","52600","22488","6450","6700"
"基礎建設","供水－食水供應","9344WF","沙田濾水廠原地重置工程(南廠)－設計和工地勘測","149100","98735","9510","8989"
"基礎建設","供水－食水供應","9345WF","將軍澳海水化淡廠工程策劃及勘查研究","34300","5259","15723","5074"
"基礎建設","供水－食水供應","9347WF","夏慤道食水抽水站重置工程","乙級工程","0","0","2000"
"基礎建設","供水－食水供應","9358WF","沙田濾水廠原地重置工程(南廠)－前期工程","乙級工程","0","0","110502"
"基礎建設","供水－食水供應","9359WF","將軍澳海水化淡廠第1階段設計及建造－勘查研究檢討、設計及工地勘測","乙級工程","0","0","26586"
"基礎建設","供水－海水供應","9013WS","薄扶林區海水供應系統","268000","248652","11500","2000"
"基礎建設","供水－海水供應","9036WS","茶果嶺海水供應系統環形總水管敷設工程","81200","77289","400","725"
"基礎建設","供水－海水供應","9043WS","灣仔海水供應系統提升工程","271100","98989","29756","22500"
"基礎建設","供水－海水供應","9045WS","新界西北區海水供水計劃－餘下工程","808400","649375","51154","32165"
"基礎建設","供水－海水供應","9046WS","沙田海水供應系統擴展工程","207400","193408","0","8893"
"基礎建設","供水－海水供應","9049WS","新界西北區海水供水計劃第1階段","188000","176959","7000","3200"
"整體撥款","","9100WX","為工務計劃丁級工程項目進行水務工程、研究及勘測工作","0","0","690000","720000"
"完成、取消或削減的工程","","","","0","0","16283","0"
