"","分目(編號)
","核准項目
","核准項目預算
$’000","截至31.3.2014止的實際開支
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"政府統計處","A031XG","2016年中期人口統計的電腦設備和服務","88814","0","12000","25776"
"香港海關","A041XM","應課稅品系統發展計劃","33000","0","2770","8520"
"律政司","A008YN","建立經核實、經認證及可檢索的香港法例電子資料庫","79395","10537","1265","42471"
"消防處","A031XR","裝設綜合發牌、消防安全及檢控系統","39676","35890","2496","16"
"消防處","A040XR","開發資產管理及保養系統","49830","7206","10710","22246"
"消防處","A041XR","開發電腦系統以提供調派後指引","0","0","0","908"
"政府物流服務署","A005YC","更換採購管理系統","37210","31568","350","500"
"政府總部：教育局","A022XN","教育資訊系統基礎設施改善計劃","157017","5770","7026","56877"
"政府總部：教育局","A023XN","提升網上學校行政及管理系统","67000","0","55250","10096"
"政府總部：食物及衞生局(衞生科)","A074XV","開發全港電子健康紀錄互通系統","702000","634906","46360","20734"
"政府總部：政府資訊科技總監辦公室","A068XV","在政府場地提供Wi-Fi無線上網設施","285600","212259","14000","9200"
"政府總部：政府資訊科技總監辦公室","A080XV","為電子政府服務提供新的系統託管基建設施","135000","76348","51925","900"
"政府總部：政府資訊科技總監辦公室","A083XV","構建政府雲端平台","242000","19362","10000","33641"
"香港警務處","A074YU","更換刑事情報電腦系統及第二代警務處姓名索引電腦系統","66170","65136","361","10"
"香港警務處","A088YU","電腦輔助掌紋及指紋鑑證系統","59576","38104","15149","6323"
"香港警務處","A097YU","發展第三代重大事件調查及災難支援工作系統","43980","3555","2401","14739"
"香港警務處","A098YU","重新發展人事資訊通用系統","57600","50490","482","3878"
"香港警務處","A104YU","發展第二代通用資訊系統","411272","30823","39238","127255"
"香港警務處","A105YU","採用虛擬工作站改善資訊科技基建設施(初步推行計劃)","40716","626","1000","15397"
"香港警務處","A137YU","遷移第三代警務處姓名索引電腦系統、拘捕程序系統及第三代刑事情報電腦系統的共用平台","0","0","0","3232"
"入境事務處","A029YF","香港特別行政區身份證","1225589","798902","2872","240"
"入境事務處","A034YF","推行全新資訊系統策略第II期計劃","352753","317084","6870","910"
"入境事務處","A035YF","深港西部通道新管制站電腦系統","176616","104975","0","1571"
"入境事務處","A036YF","推行全新資訊系統策略第III期計劃","336845","311415","0","3344"
"入境事務處","A052YF","提升電腦系統以處理電子往來港澳通行證及擴展e-道服務","247515","147034","28161","5025"
"入境事務處","A058YF","新資訊科技基建設施","862202","1351","129593","58005"
"入境事務處","A062YF","新出入境管制系統","912215","816","2114","39656"
"入境事務處","A069YF","港珠澳大橋香港口岸新管制站裝設的電腦系統","0","0","0","4948"
"入境事務處","A076YF","推行新一代智能身份證系統","0","0","0","532"
"入境事務處","A077YF","推行新一代電子護照系統","0","0","0","2827"
"廉政公署","A016YG","廉政公署新總部大樓的資訊科技整合與應用工程計劃","144587","115481","9900","3680"
"廉政公署","A017YG","推行新一代的執行處資訊系統","57457","9210","24000","13840"
"稅務局","A035YK","推行系統基礎設施改善計劃","305315","62902","67004","41069"
"知識產權署","A009YO","重新建立知識產權署的電子處理系統、電子提交系統和網上檢索系統","67114","0","866","3673"
"司法機構","A036YL","於西九龍法院大樓配備資訊科技基礎設施與數碼錄音及謄寫服務系統","51796","1013","1630","17527"
"司法機構","A037YL","推行司法機構資訊科技策略計劃","682430","6201","21960","55360"
"地政總署","A041XF","更換電腦化土地信息系統","47426","45815","552","530"
"康樂及文化事務署","A023VA","為香港公共圖書館更換圖書館電腦化系統","205967","187040","10234","5606"
"康樂及文化事務署","A043VA","香港公共圖書館多媒體資訊系統主要提升計劃","93119","83980","2834","1377"
"社會福利署","A011ZG","推行資訊系統策略第II階段計劃","241053","225006","14231","1816"
"社會福利署","A012ZG","更換社會保障電腦系統","386139","36504","40080","45080"
"社會福利署","A013ZG","建立新一代資訊科技基建","0","0","0","15729"
"在職家庭及學生資助事務處","A008ZO","綜合學生資助系統","65371","14685","17700","11000"
"在職家庭及學生資助事務處","A009ZO","為在職家庭津貼辦事處設立資訊科技系統和辦公室自動化設施","0","0","15","40022"
"工業貿易署","A013ZM","搬遷及重置工業貿易署資訊科技系統及設施往工業貿易大樓","52542","2043","13205","25002"
"運輸署","A125ZN","開發交通及事故管理系統","100000","15867","6490","18848"
"運輸署","A170ZN","提升車輛牌照及駕駛執照綜合資料電腦系統的基本設施","71284","0","190","2285"
"整體撥款","A007GX","新行政工作電腦系統","0","0","883000","940000"
"完成、取消或削減的工程","","","0","0","2944","0"
