year,head_no,actual,approved,revised,estimate
2006,21,60397,59006,62657,72296
2006,22,761371,703072,765280,956336
2006,23,61292,59788,60349,59000
2006,24,117441,115379,113471,115872
2006,25,1400782,1380584,1366877,1349587
2006,26,462386,499078,476954,529552
2006,27,73616,73009,72600,72500
2006,28,600499,648290,639013,635969
2006,30,2441035,2402021,2372266,2379726
2006,31,1853418,1826794,1820262,1975440
2006,33,828770,1056152,1020666,1292813
2006,35,37790,46104,44459,47369
2006,37,2831541,2820353,2836471,3061952
2006,39,1606802,1576514,1554439,1573228
2006,42,229280,267406,266456,289696
2006,44,2137048,2195717,2074548,2044536
2006,45,3037510,3007562,2960670,3020985
2006,46,4499753,4676657,4263139,4213218
2006,47,503828,543071,530192,564313
2006,48,240232,234704,229070,245157
2006,49,3817376,3889855,3676712,3944684
2006,51,1560504,1679663,1641040,1711869
2006,53,662324,669152,663222,754545
2006,55,75248,80874,62259,122114
2006,59,443179,463032,444047,450445
2006,60,1934210,1937190,1931873,1950753
2006,62,332952,302952,254178,88827
2006,63,1197533,1227436,1211597,1260789
2006,70,2230657,2232697,2205976,2341932
2006,72,677648,663024,640378,668462
2006,74,311592,346736,322124,346736
2006,76,1079248,1186786,1095000,1187034
2006,78,84250,83359,80292,86491
2006,79,207426,106183,106183,106063
2006,80,881007,944370,892920,952710
2006,82,735747,768256,757824,778914
2006,90,980041,1061135,939189,975608
2006,91,1417354,1409424,1391035,1606062
2006,92,838103,888151,856590,879599
2006,94,627253,751491,682512,748491
2006,95,4867642,4983438,4960517,5027086
2006,96,239932,290711,261587,296825
2006,100,882880,909494,859212,897414
2006,106,156596,9062409,158515,8520079
2006,112,351382,338862,334559,346637
2006,114,86978,81422,81422,81252
2006,116,116768,130344,112795,130975
2006,118,419419,415267,401947,426239
2006,120,15700749,14607924,13149268,14172855
2006,121,12998,13254,13254,12700
2006,122,11126678,11052991,10915735,11152791
2006,136,17654,17374,16735,15511
2006,138,85076,90476,88296,92397
2006,142,482220,591386,572601,636183
2006,143,384984,398656,376485,386654
2006,144,37136,39888,38554,135667
2006,145,723256,897840,881620,928593
2006,147,160321,196226,158579,185003
2006,148,106443,121847,109569,126419
2006,149,28670655,27728814,27969331,28272564
2006,151,113215,123427,120551,124100
2006,152,474092,498029,474306,497268
2006,155,416507,453739,429182,463305
2006,156,32460172,33873648,33251980,34210798
2006,158,93606,72025,72115,71671
2006,159,185004,198474,185750,194519
2006,160,448887,428479,428456,438886
2006,162,375783,361772,353983,362882
2006,163,269299,73791,70031,174083
2006,166,189092,229812,222797,212290
2006,168,193806,195990,193769,197374
2006,170,32527366,34056760,32879986,34278034
2006,173,2880969,3722780,3158450,3850280
2006,174,9829,9519,10523,8650
2006,180,82936,87525,90505,96272
2006,181,597377,676872,856536,689654
2006,184,20000,5028400,4628400,3516400
2006,186,812691,854314,833734,882731
2006,188,302067,330106,311255,333041
2006,190,12043513,11407036,12392680,11320070
2006,194,5211863,5121371,5119099,5116893
2007,21,61316,72296,70584,74629
2007,22,742566,956336,1121358,1439358
2007,23,59835,59000,58922,59227
2007,24,110775,115872,110841,113092
2007,25,1368381,1349587,1346760,1361087
2007,26,450486,529552,498104,475211
2007,27,72862,72500,70639,73739
2007,28,636777,635969,583569,626432
2007,30,2376728,2379726,2364730,2415644
2007,31,1801587,1975440,1856558,2127362
2007,33,1007324,1292813,1056051,1306412
2007,35,36281,47369,42023,53029
2007,37,2850682,3061952,2958752,3077573
2007,39,1554704,1573228,1558985,1585648
2007,42,264683,289696,287080,287276
2007,44,2081502,2044536,2002624,2757857
2007,45,2965741,3020985,2961778,3118259
2007,46,4074626,4213218,3755189,3690660
2007,47,519306,564313,546876,564033
2007,48,228220,245157,233377,286282
2007,49,3650295,3944684,3783403,4077004
2007,51,1598431,1711869,1636242,1795517
2007,53,643578,754545,859695,1057019
2007,55,51652,122114,120906,63594
2007,59,430540,450445,394640,419644
2007,60,1932106,1950753,1914593,2007163
2007,62,302952,88827,92527,116736
2007,63,1178365,1260789,1216950,1355286
2007,70,2215452,2341932,2254008,2601182
2007,72,640440,668462,656171,701247
2007,74,319121,346736,323667,347918
2007,76,1053844,1187034,1054042,1179031
2007,78,75390,86491,80019,86951
2007,79,105863,106063,106063,107151
2007,80,861126,952710,900607,995591
2007,82,751263,778914,755199,775737
