year,head_no,programme_no,programme_name,actual,original,revised,estimate
2006,21,1,Chief Executive’s Office,50.1,48.0,49.2,55.5
2006,21,2,Executive Council,10.3,11.0,13.5,16.8
2006,21,0,total,60.4,59.0,62.7,72.3
2006,22,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",183.0,164.2,203.6,376.1
2006,22,2,Nature Conservation and Country Parks,407.9,389.6,401.3,415.2
2006,22,3,"Animal, Plant and Fisheries Regulation and Technical Services",170.5,149.3,160.4,165.0
2006,22,0,total,761.4,703.1,765.3,956.3
2006,23,1,Auxiliary Medical Service,61.3,59.8,60.3,59.0
2006,23,0,total,61.3,59.8,60.3,59.0
2006,24,1,Regularity Audit,37.7,37.8,37.3,34.0
2006,24,2,Value for Money Audit,79.7,77.6,76.2,81.9
2006,24,0,total,117.4,115.4,113.5,115.9
2006,25,1,Monitoring and Advisory Services,173.3,176.5,170.4,169.4
2006,25,2,Facilities Upkeep,700.4,709.5,708.7,704.5
2006,25,3,Facilities Development,527.1,494.6,487.8,475.7
2006,25,0,total,1400.8,1380.6,1366.9,1349.6
2006,26,1,Trade Statistics,131.5,147.1,140.7,144.6
2006,26,2,Social Statistics,55.5,77.5,75.0,128.9
2006,26,3,National Accounts and Balance of Payments Statistics,71.6,68.7,68.4,68.8
2006,26,4,General Statistical Services,22.9,21.8,22.8,23.3
2006,26,5,Price/Industry/Service Statistics,122.2,123.4,113.6,107.8
2006,26,6,Labour Statistics,58.7,60.6,56.5,56.2
2006,26,0,total,462.4,499.1,477.0,529.6
2006,27,1,Civil Aid Service,73.6,73.0,72.6,72.5
2006,27,0,total,73.6,73.0,72.6,72.5
2006,28,1,Flight Standards,53.3,55.3,54.6,55.8
2006,28,2,Airport Standards,32.2,33.4,32.6,32.6
2006,28,3,Air Traffic Management,244.5,255.8,280.3,295.3
2006,28,4,Engineering and Systems,246.7,278.6,246.9,229.0
2006,28,5,Air Services,22.2,23.7,23.1,21.8
2006,28,6,Air Passenger Departure Tax Administration,1.6,1.5,1.5,1.5
2006,28,0,total,600.5,648.3,639.0,636.0
2006,30,1,Prison Management,1969.5,1935.9,1914.2,1914.0
2006,78,0,total,84.3,83.4,80.3,86.5
2006,30,2,Re-integration,471.5,466.1,458.1,465.7
2006,30,0,total,2441.0,2402.0,2372.3,2379.7
2006,31,1,Control and Enforcement,1139.3,1138.7,1137.5,1291.2
2006,31,2,Anti-narcotics Investigation,128.1,126.2,124.9,123.4
2006,31,3,Intellectual Property Rights and Consumer Protection,226.0,214.5,218.7,219.2
2006,31,4,Revenue Protection and Collection,127.5,124.1,124.8,124.3
2006,31,5,Trade Controls,232.5,223.3,214.4,217.3
2006,31,0,total,1853.4,1826.8,1820.3,1975.4
2006,33,1,Tourism and Recreational Development,52.9,30.9,36.6,36.8
2006,33,2,Port and Marine Facilities,184.1,175.3,168.4,168.7
2006,33,3,Provision of Land and Infrastructure,244.2,254.6,260.3,262.7
2006,33,4,Slope Safety and Geotechnical Standards,262.3,260.1,264.8,267.9
2006,33,5,Greening and Technical Services,104.2,104.1,91.4,92.8
2006,33,6,"Supervision of Mining, Quarrying and Explosives",49.5,45.1,43.0,43.4
2006,33,7,Management of Construction and Demolition Materials,147.3,146.1,129.5,393.8
2006,33,8,Advice on Development Proposals,39.2,40.0,26.7,26.7
2006,33,0,total,1083.7,1056.2,1020.7,1292.8
2006,35,1,"Liaison, Economic and Trade Affairs",27.2,33.2,31.9,34.2
2006,35,2,HKSAR Immigration-related Matters,10.6,12.9,12.5,13.2
2006,35,0,total,37.8,46.1,44.4,47.4
2006,37,1,Statutory Functions,220.3,233.5,235.9,241.5
2006,37,2,Disease Prevention,1222.4,1195.2,1204.3,1374.4
2006,37,3,Health Promotion,222.1,212.4,213.5,221.8
2006,37,4,Curative Care,529.7,532.1,520.1,529.5
2006,37,5,Rehabilitation,76.1,73.0,71.2,71.9
2006,37,6,Treatment of Drug Abusers,112.5,116.3,116.3,120.2
2006,37,7,Medical and Dental Treatment for Civil Servants,437.8,447.8,465.1,492.6
2006,37,8,Personnel Management of Civil Servants Working in Hospital Authority,10.6,10.1,10.1,10.1
2006,37,0,total,2831.5,2820.4,2836.5,3062.0
2006,39,1,Stormwater Drainage,369.4,362.5,362.5,360.9
2006,39,2,Sewage Services,1237.4,1214.0,1191.9,1212.3
2006,39,0,total,1606.8,1576.5,1554.4,1573.2
2006,42,1,"Energy supply; electrical, gas and nuclear safety",102.8,96.8,97.2,96.1
2006,42,2,Mechanical installations safety,26.5,25.4,25.7,27.2
2006,42,3,"Energy efficiency and conservation, and alternative energy",36.6,84.9,82.5,109.5
2006,42,4,Centralised services and special support,63.4,60.3,61.1,56.9
2006,42,0,total,229.3,267.4,266.5,289.7
2006,44,1,Waste,1391.7,1413.6,1399.0,1411.6
2006,44,2,Air,376.1,399.6,303.0,248.8
2006,44,3,Noise,92.0,91.8,84.9,91.5
2006,44,4,Water,221.9,213.3,208.4,211.1
2006,44,5,Environmental Assessment and Planning,78.9,74.2,74.2,76.1
2006,44,6,Nature Conservation,3.3,3.2,5.0,5.4
2006,44,0,total,2163.9,2195.7,2074.5,2044.5
2006,45,1,Fire Service,2000.6,1986.5,1954.8,1986.8
2006,45,2,Fire Protection and Prevention,231.5,227.9,219.3,219.1
2006,45,3,Ambulance Service,805.4,793.2,786.6,815.1
2006,45,0,total,3037.5,3007.6,2960.7,3021.0
2006,46,1,General Expenses of the Civil Service,4499.8,4676.7,4263.1,4213.2
2006,46,0,total,4499.8,4676.7,4263.1,4213.2
2006,47,1,Use of IT in Government,392.7,395.7,375.3,395.1
2006,47,2,IT Infrastructure and Standards,96.3,99.3,93.1,107.4
2006,47,3,IT in the Community,46.8,48.1,61.8,61.8
2006,47,0,total,535.8,543.1,530.2,564.3
2006,48,1,Statutory Testing,76.0,71.0,67.1,81.4
2006,48,2,Advisory and Investigative Services,56.3,56.1,56.1,59.0
2006,48,3,Forensic Science Service,107.9,107.6,105.9,104.8
2006,48,0,total,240.2,234.7,229.1,245.2
2006,49,1,Food Safety and Public Health,465.8,494.7,548.9,595.6
2006,49,2,Environmental Hygiene and Related Services,2036.2,2071.3,1890.9,2079.2
2006,49,3,Market Management and Hawker Control,1293.9,1296.4,1213.0,1248.0
2006,49,4,Public Education and Community Involvement,21.5,27.5,23.9,21.9
2006,49,0,total,3817.4,3889.9,3676.7,3944.7
2006,51,1,Acquisition and Allocation,689.1,707.5,683.6,731.1
2006,51,2,Property Management,831.8,930.9,917.4,942.1
2006,51,3,Estate Utilisation,39.6,41.3,40.0,38.7
2006,51,0,total,1560.5,1679.7,1641.0,1711.9
2006,53,1,Director of Bureau’s Office,5.8,5.8,5.8,5.8
2006,53,2,Rights of the Individual,36.5,38.4,36.3,38.7
2006,53,3,Information Policy,9.3,9.7,9.3,9.7
2006,53,4,District and Community Relations,23.9,25.4,24.3,27.3
2006,53,5,Youth Development,68.3,73.1,68.1,73.1
2006,53,6,"Recreation, Sport and Entertainment Licensing",26.2,31.0,35.6,37.9
2006,53,7,Culture,20.3,23.0,22.3,22.4
2006,53,8,"Subvention: HKAPA, HKADC and HKSIL",358.4,354.2,353.5,432.3
2006,53,9,Subvention: EOC and Office of the Privacy Commissioner for Personal Data,113.6,108.6,108.0,107.3
2006,53,0,total,662.3,669.2,663.2,754.5
2006,55,1,Broadcasting and Film Services,17.3,17.3,21.6,19.6
2006,55,2,Telecommunications,25.9,63.6,40.7,102.5
2006,55,0,total,43.2,80.9,62.3,122.1
2006,59,1,Procurement,48.0,49.5,49.0,46.9
2006,59,2,Supplies Management,74.4,85.7,72.7,76.3
2006,59,3,Land Transport,127.3,129.0,125.9,127.6
2006,59,4,Printing Services,193.5,198.8,196.4,199.6
2006,59,0,total,443.2,463.0,444.0,450.4
2006,60,1,Capital Projects,290.0,267.8,263.6,268.6
2006,60,2,District and Maintenance,1039.5,1033.7,1040.4,1045.7
2006,60,3,Railway Development,71.0,75.1,73.5,72.2
2006,60,4,Technical Services,533.7,560.6,554.4,564.3
2006,60,0,total,1934.2,1937.2,1931.9,1950.8
2006,62,1,Building Control,,,,64.2
2006,62,2,Private Housing,,,,10.0
2006,62,3,Appeal Panel (Housing),,,,5.1
2006,62,4,Rehousing of Occupants upon Clearance,333.0,303.0,254.2,9.5
2006,62,0,total,333.0,303.0,254.2,88.8
2006,63,1,District Administration,497.3,516.9,506.5,513.6
2006,63,2,Community Building,474.4,481.1,484.1,521.6
2006,63,3,Local Environmental Improvements,173.4,177.6,170.7,174.6
2006,63,4,Licensing,35.0,34.3,33.3,33.8
2006,63,5,Territory Planning and Development,17.4,17.5,17.0,17.2
2006,63,0,total,1197.5,1227.4,1211.6,1260.8
2006,70,1,Pre-entry Control,162.4,174.0,155.5,151.9
2006,70,2,Control upon Entry,1063.0,1035.7,1063.2,1177.0
2006,70,3,Control after Entry,402.6,382.8,383.1,401.9
2006,70,4,Personal Documentation,590.3,632.6,594.9,598.5
2006,70,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,12.4,7.6,9.3,12.6
2006,70,0,total,2230.7,2232.7,2206.0,2341.9
2006,72,1,Corruption Prevention,46.7,45.2,42.5,45.0
2006,72,2,Operations,517.1,506.6,491.0,513.9
2006,72,3,Preventive Education,56.0,54.7,52.6,53.9
2006,72,4,Enlisting Support,57.8,56.5,54.3,55.7
2006,72,0,total,677.6,663.0,640.4,668.5
2006,74,1,Public Relations Outside Hong Kong,67.6,73.7,69.3,76.1
2006,74,2,Local Public Relations and Public Information,145.3,150.5,141.4,153.2
2006,74,3,Public Opinion,17.0,19.2,17.8,18.4
2006,74,4,Civic Responsibility,25.7,32.7,31.3,34.2
2006,74,5,Publishing,56.0,70.6,62.3,64.8
2006,74,0,total,311.6,346.7,322.1,346.7
2006,76,1,Assessing Functions,773.8,868.2,787.3,876.1
2006,76,2,Collection,123.2,129.8,122.9,124.3
2006,76,3,Investigation and Field Audit,162.8,167.2,163.6,166.7
2006,76,4,Taxpayer Services,19.4,21.6,21.2,19.9
2006,76,0,total,1079.2,1186.8,1095.0,1187.0
2006,78,1,Statutory Functions,68.4,67.1,63.0,71.0
2006,78,2,Protection of Intellectual Property,15.9,16.3,17.3,15.5
2006,79,1,Investment Promotion,103.6,106.2,106.2,106.1
2006,79,0,total,103.6,106.2,106.2,106.1
2006,80,1,Courts and Tribunals,657.4,704.4,673.5,728.4
2006,80,2,Support Services for Courts’ Operation,223.6,240.0,219.4,224.3
2006,80,0,total,881.0,944.4,892.9,952.7
2006,82,1,Buildings and Building Works,735.7,768.3,757.8,778.9
2006,82,0,total,735.7,768.3,757.8,778.9
2006,90,1,Labour Relations,106.9,106.2,105.0,107.6
2006,90,2,Employment Services,367.0,457.7,348.4,368.8
2006,90,3,Safety and Health at Work,308.8,307.1,302.7,307.2
2006,90,4,Employee Rights and Benefits,197.3,190.1,183.1,192.0
2006,90,0,total,980.0,1061.1,939.2,975.6
2006,91,1,Land Administration,1004.2,1009.7,985.7,1178.4
2006,91,2,Survey and Mapping,365.1,352.8,360.6,376.9
2006,91,3,Legal Advice,48.1,46.9,44.7,50.8
2006,91,0,total,1417.4,1409.4,1391.0,1606.1
2006,92,1,Prosecutions,343.6,363.4,361.0,376.7
2006,92,2,Civil,324.8,344.2,319.1,323.5
2006,92,3,Legal Policy,59.3,62.5,59.7,57.4
2006,92,4,Law Drafting,78.3,82.3,81.6,85.0
2006,92,5,International Law,32.1,35.8,35.2,37.0
2006,92,0,total,838.1,888.2,856.6,879.6
2006,94,1,Processing of Legal Aid Applications,73.6,74.0,69.9,70.2
2006,94,2,Litigation Services,518.0,642.6,576.1,641.9
2006,94,3,Support Services,28.9,28.0,27.6,27.2
2006,94,4,Official Solicitor’s Office,6.8,6.9,8.9,9.2
2006,94,0,total,627.3,751.5,682.5,748.5
2006,95,1,Recreation and Sports,2234.7,2195.7,2256.6,2263.9
2006,95,2,Horticulture and Amenities,539.8,510.1,512.6,533.4
