"總目","綱領編號","綱領","機構","2013-14
(實際)
(百萬元)","2014-15
(原來預算)
(百萬元)","2014-15
(修訂)
(百萬元)","2015-16
(預算)
(百萬元)"
"21",1,"行政長官辦公室","",74.0,78.3,80.3,80.2
"21",2,"行政會議","",20.5,20.8,21.0,21.3
"22",1,"漁農事宜及新鮮副食品批發市場","",313.0,519.0,304.2,320.8
"22",2,"自然護理及郊野公園","",546.7,583.0,591.7,608.9
"22",3,"動植物及漁業監管及技術服務","",290.2,293.8,298.4,303.8
"23",1,"醫療輔助服務","",74.3,80.6,80.6,87.3
"24",1,"審核帳目是否妥善的工作","",44.8,46.9,47.0,49.3
"24",2,"衡工量值式審計工作","",93.5,97.5,102.2,103.3
"25",1,"監察及諮詢服務","",241.5,248.4,258.8,263.2
"25",2,"設施保養","",915.9,938.6,948.0,978.5
"25",3,"設施發展","",603.1,619.7,636.3,650.6
"26",1,"貿易統計","",150.7,161.4,158.5,169.1
"26",2,"社會統計","",78.5,109.2,99.9,143.5
"26",3,"國民經濟核算及國際收支平衡統計","",78.3,80.3,78.8,84.8
"26",4,"綜合統計服務","",30.8,32.3,30.2,32.5
"26",5,"物價／工業／服務業統計","",139.5,150.2,144.1,159.3
"26",6,"勞工統計","",79.2,81.7,79.8,86.1
"27",1,"民眾安全服務","",96.2,95.7,97.0,99.5
"28",1,"飛行標準","",97.8,102.5,103.1,106.4
"28",2,"機場安全標準","",43.5,45.1,46.7,52.4
"28",3,"航空交通管理","",367.5,382.0,387.6,402.0
"28",4,"航空交通工程服務","",313.5,286.2,298.8,300.0
"28",5,"航班事務及安全管理","",31.0,44.5,43.3,40.7
"28",6,"飛機乘客離境稅的管理","",2.3,1.8,1.8,1.9
"30",1,"監獄管理","",2355.2,2460.1,2515.5,2556.6
"30",2,"重新融入社會","",923.6,906.8,935.9,963.1
"31",1,"管制及執法","",2162.6,2227.9,2300.0,2442.2
"31",2,"緝毒調查","",186.8,183.6,190.7,195.1
"31",3,"保護知識產權及消費者權益","",290.5,314.9,321.0,324.5
"31",4,"保障稅收及徵收稅款","",169.6,169.5,176.0,178.2
"31",5,"貿易管制","",151.4,160.7,176.0,176.9
"33",1,"旅遊及康樂發展","",42.7,43.2,44.9,45.4
"33",2,"港口及海事設施","",201.8,204.4,208.5,218.2
"33",3,"提供土地及基礎設施","",358.9,425.1,436.5,463.0
