"分目 (編號)","分目","項目 (編號)","項目","2013–14實際收入
$’000","2014–15原來預算
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"022","漁農自然護理署","010","市場","81456","84978","84598","89211"
"022","漁農自然護理署","020","農業服務及農產品","326","262","410","470"
"022","漁農自然護理署","030","其他","33889","32496","36859","36907"
"024","審計署","","","10307","10059","10829","10829"
"025","建築署","025","提供予營運基金及資助工程的服務","3134","2609","1097","1097"
"025","建築署","030","其他","850","642","499","499"
"026","政府統計處","","","12083","11169","11004","11689"
"027","民眾安全服務處","","","167","172","153","153"
"028","民航處","010","提供予機場管理局的服務","754879","862987","759184","870210"
"028","民航處","020","過境導航費","265147","290836","290246","303427"
"028","民航處","030","牌照","71462","85977","84380","62179"
"028","民航處","040","其他","2893","2287","2901","2842"
"030","懲教署","010","回收款項，懲教署工業組的原材料成本除外","144","121","1002","1002"
"030","懲教署","015","洗熨費用","3310","3279","3298","3298"
"030","懲教署","020","其他","253","228","497","497"
"031","香港海關","010","進口及出口報關","878378","879014","921962","952540"
"031","香港海關","020","保稅公倉監管費","488","546","456","524"
"031","香港海關","030","成衣業訓練附加稅服務費","64","64","70","70"
"031","香港海關","040","酒類變質費","320","251","240","240"
"031","香港海關","071","進口及出口證","2619","2735","2381","2381"
"031","香港海關","072","應課稅品倉牌照","753","731","753","753"
"031","香港海關","080","雜項牌照","1707","1672","1721","1709"
"031","香港海關","090","存倉費","0","1","1","1"
"031","香港海關","100","其他","16538","13542","15518","15065"
"032","公司註冊處","010","牌照及其他費用","10987","11266","13185","14504"
"033","土木工程拓展署","010","代個別市民／私營公司進行的工程","270625","35800","47583","33383"
"033","土木工程拓展署","011","危險品、採礦及探礦牌照","3022","3045","1887","1689"
"033","土木工程拓展署","012","爆炸品許可證及儲存費","40399","28072","23832","23395"
"033","土木工程拓展署","013","卸泥","3444","4269","3197","5937"
"033","土木工程拓展署","014","在公眾填料接收設施處置建築廢料","346242","348300","317000","363000"
"033","土木工程拓展署","030","其他","718","594","536","408"
"037","衞生署","010","危險藥物、藥房、毒藥及其他牌照","25087","24297","23482","23870"
"037","衞生署","030","門診收費","33389","34416","36441","36723"
"037","衞生署","040","牙科收費","7879","7902","8082","8324"
"037","衞生署","050","住院、門診及牙科收費以外的醫療及健康護理費用","30301","29320","29157","28539"
"037","衞生署","060","醫療及輔助醫療業人員註冊及證書","29678","30395","29769","31130"
"037","衞生署","070","其他","545","612","944","1751"
"039","渠務署","010","代個別市民／私營公司進行的工程","19","5","0","0"
"039","渠務署","030","其他","1353","1141","969","980"
"042","機電工程署","025","提供予機電工程營運基金的服務","38568","40443","40534","42359"
"042","機電工程署","027","註冊、核證及許可證費用","57836","50406","50329","45816"
"042","機電工程署","030","其他","7292","16272","12273","13597"
"044","環境保護署","010","處理化學廢物收費計劃","19138","16800","18600","18600"
"044","環境保護署","015","處理船舶排放污染廢物收費計劃","4265","5200","3650","3650"
"044","環境保護署","017","廢物處置收費","118268","116200","121000","121000"
"044","環境保護署","020","牌照及許可證收費","12994","12448","13388","13281"
"044","環境保護署","025","生產者責任計劃","32975","15700","34200","8500"
"044","環境保護署","030","其他","450","315","883","906"
"045","消防處","010","儲存危險品牌照","11014","10428","10657","11798"
"045","消防處","012","證明書及火警報告","6999","6832","7475","8364"
"045","消防處","020","其他","1283","1295","840","910"
"047","政府總部：政府資訊科技總監辦公室","","","6665","8185","8973","7732"
"048","政府化驗所","015","提供予醫院管理局的服務","7551","8600","7300","7911"
"048","政府化驗所","020","其他","7245","6457","7757","7349"
"049","食物環境衞生署","010","牌照及許可證","244795","230590","232059","176785"
"049","食物環境衞生署","020","肉類檢驗","22327","22356","22832","23300"
"049","食物環境衞生署","030","墳場及火葬場","98281","93929","98706","103100"
"049","食物環境衞生署","040","其他","3207","3454","3805","2920"
"051","政府產業署","010","管理及空氣調節費用","68701","66395","99719","66780"
"051","政府產業署","020","其他","7064","5811","8203","6204"
"055","政府總部︰商務及經濟發展局(通訊及科技科)","","","1145","1300","1171","1215"
"059","政府物流服務署","010","印刷服務","221804","215378","263023","277146"
"059","政府物流服務署","020","刊登公共啓事","19292","19200","19876","19333"
"059","政府物流服務署","030","租用政府車輛","21780","23921","23593","23691"
"059","政府物流服務署","040","其他","12948","11220","15962","13704"
"060","路政署","010","代個別市民／私營公司進行的工程","610","400","616","562"
"060","路政署","020","掘路許可證","159120","147860","145327","145351"
"060","路政署","030","其他","2073","1650","2050","2060"
"063","民政事務總署","015","旅館牌照","7650","9056","9781","2400"
"063","民政事務總署","016","會社證明書","12855","14494","14088","13646"
"063","民政事務總署","020","卡拉OK場所牌照及許可證","28","38","33","28"
"063","民政事務總署","021","娛樂牌照","15393","16270","15446","14822"
"063","民政事務總署","030","其他","2677","2645","2687","2685"
"070","入境事務處","012","申請中國國籍","4651","5932","4196","4529"
"070","入境事務處","020","旅行證件","301676","279349","287972","277257"
"070","入境事務處","030","簽證、入境許可證及延期逗留","105407","122578","121337","128984"
"070","入境事務處","040","證明書費用","9705","10430","9915","9810"
"070","入境事務處","060","補領身分證","41937","43288","41976","41957"
"070","入境事務處","070","出生及死亡登記費","35773","36124","38043","37008"
"070","入境事務處","080","婚姻註冊費","64880","69009","67085","69340"
"070","入境事務處","090","其他","16796","12826","13990","14549"
"074","政府新聞處","010","銷售刊物","6001","5615","5597","5597"
"074","政府新聞處","020","其他","1218","822","1116","1116"
"076","稅務局","010","商業登記費","73494","2400000","2450000","2550000"
"076","稅務局","020","其他","18394","19000","23000","23000"
"078","知識產權署","010","專利註冊費","21922","19992","21932","20776"
"078","知識產權署","020","商標註冊費","145028","168313","158627","186622"
"078","知識產權署","030","外觀設計註冊費","8758","8292","9266","8671"
"078","知識產權署","040","其他","82","135","58","115"
"080","司法機構","010","手續費","14763","10029","7920","7920"
"080","司法機構","020","法庭收費","151161","148366","150791","148829"
"080","司法機構","030","查封費","230","267","196","196"
"080","司法機構","040","其他","15037","14184","15105","15105"
"082","屋宇署","010","根據《建築物條例》所收取的費用","192189","197115","218219","276992"
"082","屋宇署","020","代個別市民／私營公司進行的工程","32","48","28","28"
"082","屋宇署","030","其他","1633","2694","2522","2602"
"090","勞工處","","","25569","26926","26499","27792"
"091","地政總署","010","土地行政及法律服務","57916","58654","69178","67216"
"091","地政總署","012","地政總署同意書及政府土地契約費用","4381","3066","4394","3799"
"091","地政總署","013","為財政司司長法團提供田土轉易服務的行政費","105","175","143","142"
"091","地政總署","020","掘路許可證","10781","11921","10848","10925"
"091","地政總署","040","代個別市民／私營公司進行的工程","1140","664","764","375"
"091","地政總署","042","提供予九廣鐵路公司的服務","27452","27255","27258","25863"
"091","地政總署","046","提供予香港鐵路公司的服務","28357","32314","31970","37850"
"091","地政總署","050","其他","24681","24306","27406","28935"
"092","律政司","","","2418","4521","3463","3576"
"094","法律援助署","","","265687","258749","335029","346468"
"095","康樂及文化事務署","010","入場費及租用費","723420","689257","710895","699639"
"095","康樂及文化事務署","020","康體活動的收費","38262","39846","39335","39604"
"095","康樂及文化事務署","030","牌照","381","342","329","329"
"095","康樂及文化事務署","040","其他","30349","27570","29055","27938"
"100","海事處","010","碇泊區","27673","29538","23944","23944"
"100","海事處","020","浮泡","24175","24442","23947","23947"
"100","海事處","030","許可證收費","110377","111162","117526","117526"
"100","海事處","040","貨物裝卸區收費","131349","137928","129900","130568"
"100","海事處","050","考試及註冊費","110997","119962","120483","120631"
"100","海事處","070","船舶牌照","39130","40840","40684","40684"
"100","海事處","080","港口及燈標費","186027","188522","177666","108870"
"100","海事處","090","離港許可證收費","11127","11308","11648","11648"
"100","海事處","100","驗船費","23171","22970","21799","21923"
"100","海事處","110","其他","5703","5084","5418","5236"
"116","破產管理署","010","破產","96269","80023","182479","411573"
"116","破產管理署","020","清盤","30492","29937","27964","33843"
"116","破產管理署","030","其他","22","16","7","0"
"122","香港警務處","010","核實刑事紀錄","8763","9889","10641","11485"
"122","香港警務處","020","營業場所及行業牌照","1389","1287","1343","1433"
"122","香港警務處","025","保安及護衞人員許可證","10389","11072","10209","10209"
"122","香港警務處","030","其他","6925","8971","9061","9621"
"143","政府總部：公務員事務局","010","翻譯及傳譯服務","8154","9234","7532","8318"
"143","政府總部：公務員事務局","020","培訓及發展服務","4590","4036","4105","4105"
"143","政府總部：公務員事務局","030","其他","645","671","656","656"
"148","政府總部：財經事務及庫務局(財經事務科)","010","保險公司","40588","38828","39533","39533"
"148","政府總部：財經事務及庫務局(財經事務科)","030","其他","4","4","4","4"
"151","政府總部：保安局","010","保安及護衞公司","15366","15356","16351","17147"
"151","政府總部：保安局","090","其他","38","35","40","76"
"152","政府總部：商務及經濟發展局(工商及旅遊科)","","","10645","10822","10795","5251"
"155","政府總部：創新科技署","","","10089","10424","10352","10692"
"156","政府總部：教育局","020","補助及津貼學校公積金－監管費","5191","5500","5200","5200"
"156","政府總部：教育局","030","其他","3423","3500","3500","3500"
"160","香港電台","","","1986","1221","1626","1617"
"162","差餉物業估價署","","","4546","4608","4368","4368"
"168","香港天文台","010","提供予機場管理局的服務","94382","98319","98977","105434"
"168","香港天文台","020","其他","1458","1145","996","972"
"170","社會福利署","010","交通意外傷亡援助計劃行政費用","17557","17839","20288","20171"
"170","社會福利署","020","其他","1406","991","834","859"
"173","在職家庭及學生資助事務處","","","48754","33643","32667","33812"
"180","電影、報刊及物品管理辦事處","020","電影檢查費","4025","3984","3792","3792"
"180","電影、報刊及物品管理辦事處","030","其他","674","680","642","696"
"181","工業貿易署","010","產地來源證申請費","311","328","458","462"
"181","工業貿易署","030","紡織品出口證申請費","493","419","317","0"
"181","工業貿易署","040","其他","11262","10869","8481","4779"
"186","運輸署","010","車輛牌照及駕駛執照","3683753","3816017","3793836","3919064"
"186","運輸署","030","車輛及登記號碼過戶、駕駛考試及許可證","314577","317072","341527","342922"
"186","運輸署","040","交通意外傷亡援助計劃行政費用","1559","1904","1746","1822"
"186","運輸署","050","車輛檢驗費","67485","66537","75053","48151"
"186","運輸署","055","自訂車輛登記號碼","24506","26664","25379","23874"
"186","運輸署","060","其他","14566","15376","15118","15278"
"188","庫務署","040","其他","56919","53726","58003","58421"
"200","其他各局／部門","","","19818","17649","36378","36856"
