"總目(編號)","總目","分目(編號)
","分目","項目(編號)
","涵蓋的範圍
","核准承擔額
$’000","截至31.3.2014止的累積開支
$’000","2014–15修訂預算開支
$’000","結餘
$’000"
"341","非經常補助金","006","香港仔街坊福利會社會服務中心","024","為華貴長者日間護理中心以1輛新14座位石油氣私家輕型巴士更換現有的1輛14座位柴油私家輕型巴士","823","0","0","823"
"341","非經常補助金","006","香港仔街坊福利會社會服務中心","025","為香港仔街坊福利會社會服務中心綜合家居照顧服務隊以1輛新14座位石油氣私家輕型巴士更換現有的1輛7座位汽油私家車","847","0","0","847"
"341","非經常補助金","025","雅麗氏何妙齡那打素慈善基金會","004","為位於九龍灣的雅麗氏何妙齡那打素護養院進行翻新工程","2207","0","1138","1069"
"341","非經常補助金","035","建築署","358","在西九龍填海區海輝道KIL11146興建1間安老院","41858","0","18000","23858"
"341","非經常補助金","035","建築署","388","在美孚的擬建政府綜合大樓內興建1間兒童及青少年綜合服務中心","25800","24839","0","961"
"341","非經常補助金","045","關注婦女性暴力協會","002","為搬遷位於新界的風雨蘭危機中心進行裝修工程","1368","0","309","1059"
"341","非經常補助金","069","基督教巴拿巴愛心服務團有限公司","002","為馬鞍山中途宿舍進行翻新工程及購置家具及設備","6385","0","0","6385"
"341","非經常補助金","078","香港小童群益會","054","為賽馬會粉嶺青少年綜合服務中心的副辦事處進行裝修工程","1453","1177","182","94"
"341","非經常補助金","078","香港小童群益會","055","推行1項為期3年的網上青年外展試驗計劃","6969","4719","958","1292"
"341","非經常補助金","078","香港小童群益會","056","為搬遷位於沙田的賽馬會大圍青少年綜合服務中心購置家具及設備","516","0","350","166"
"341","非經常補助金","120","香港明愛","086","為馮黃鳯亭安老院進行翻新工程","3201","3032","0","169"
"341","非經常補助金","120","香港明愛","182","為位於中環的明愛中區長者中心進行翻新工程","907","720","0","187"
"341","非經常補助金","120","香港明愛","184","為明愛西九龍日間護理中心的副辦事處進行裝修工程","708","606","0","102"
"341","非經常補助金","120","香港明愛","186","為明愛西九龍日間護理中心進行改建工程","424","403","0","21"
"341","非經常補助金","120","香港明愛","187","為明愛深水埗綜合家居照顧服務的新單位進行裝修工程","904","773","0","131"
"341","非經常補助金","120","香港明愛","194","推行1項為期3年的網上青年外展試驗計劃","6969","4644","1033","1292"
"341","非經常補助金","120","香港明愛","195","為明愛荔康居進行消防及屋宇安全設施改善工程","1474","9","0","1465"
"341","非經常補助金","120","香港明愛","199","為成立位於黃大仙的明愛男士成長中心進行裝修工程","1185","1005","120","60"
"341","非經常補助金","120","香港明愛","200","為位於西營盤的明愛恩翠苑購置家具及設備","2286","1178","579","529"
"341","非經常補助金","120","香港明愛","201","為搬遷明愛東頭綜合家庭服務中心(黃大仙西南)進行裝修工程","7082","5735","500","847"
"341","非經常補助金","120","香港明愛","202","為搬遷位於沙田的明愛沙田長者中心進行裝修工程","574","0","492","82"
"341","非經常補助金","120","香港明愛","208","為明愛恩翠苑以1輛新13座位柴油私家輕型巴士更換現有的1輛13座位柴油私家輕型巴士","781","0","0","781"
"341","非經常補助金","120","香港明愛","209","為明愛富東苑提升院舍醫院牀的設置","507","0","0","507"
"341","非經常補助金","120","香港明愛","210","為明愛馮黃鳳亭安老院提升院舍醫院牀的設置","455","0","50","405"
"341","非經常補助金","120","香港明愛","211","為明愛利孝和護理安老院提升院舍醫院牀的設置","845","0","200","645"
"341","非經常補助金","120","香港明愛","212","為明愛李嘉誠護理安老院提升院舍醫院牀的設置","845","0","0","845"
"341","非經常補助金","120","香港明愛","213","為位於灣仔的明愛樂協會進行翻新工程","1734","0","0","1734"
"341","非經常補助金","120","香港明愛","215","為搬遷位於粉嶺的明愛綜合家庭服務中心購置家具及設備","534","0","0","534"
"341","非經常補助金","120","香港明愛","216","為位於屯門的明愛李嘉誠護理安老院進行窗戶修葺工程","577","0","288","289"
"341","非經常補助金","135","志蓮淨苑","008","為志蓮護理安老院提升院舍醫院牀的設置","1300","0","0","1300"
"341","非經常補助金","135","志蓮淨苑","009","為志蓮老人日間護理中心以2輛新14座位柴油私家輕型巴士更換現有的1輛12座位及1輛14座位柴油私家輕型巴士","1657","0","657","1000"
"341","非經常補助金","135","志蓮淨苑","010","為志蓮護理安老院以1輛新14座位柴油私家輕型巴士更換現有的1輛14座位柴油私家輕型巴士","829","0","0","829"
"341","非經常補助金","138","中華基督教禮賢會香港區會","021","為位於葵涌的禮賢會詩田頤養院進行翻新工程及購置家具及設備","7157","5547","0","1610"
"341","非經常補助金","138","中華基督教禮賢會香港區會","022","為位於沙田的禮賢會王少清頤養院進行翻新工程及購置家具及設備","10729","8713","0","2016"
"341","非經常補助金","140","香港中華基督教青年會","057","為位於上環的必愛之家庇護工場進行翻新工程","2480","0","0","2480"
"341","非經常補助金","140","香港中華基督教青年會","058","為位於秀茂坪的聯青聾人中心進行翻新工程","2524","0","0","2524"
"341","非經常補助金","140","香港中華基督教青年會","059","為位於香港仔的華愛之家宿舍進行翻新工程","2626","0","0","2626"
"341","非經常補助金","140","香港中華基督教青年會","060","為搬遷位於石硤尾的石硤尾會所購置家具及設備","617","0","0","617"
"341","非經常補助金","150","基督教家庭服務中心","058","為位於將軍澳的養真苑進行翻新工程及購置家具及設備","16652","1161","3509","11982"
"341","非經常補助金","150","基督教家庭服務中心","062","為位於觀塘的總部大樓進行翻新工程","692","0","400","292"
"341","非經常補助金","150","基督教家庭服務中心","063","為位於將軍澳的誠望輔助宿舍進行翻新工程","2616","24","807","1785"
"341","非經常補助金","150","基督教家庭服務中心","064","為位於將軍澳的誠信兒童之家進行翻新工程","1600","14","0","1586"
"341","非經常補助金","150","基督教家庭服務中心","065","為位於柴灣的安怡宿舍及安愉宿舍進行翻新工程","3130","28","0","3102"
"341","非經常補助金","162","鐘聲慈善社","004","為位於青衣的劉梅軒安老院進行翻新工程及購置家具及設備","16082","0","0","16082"
"341","非經常補助金","166","鍾錫熙長洲安老院有限公司","006","為鍾錫熙長洲安老院進行翻新工程","1481","0","185","1296"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","046","為位於沙田的馬鞍山長者地區中心暨日間護理單位的新增部分進行裝修工程","3419","3026","0","393"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","050","為位於天水圍的天朗中心進行裝修工程","2162","1897","0","265"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","052","為山景長者護理院提升院舍醫院牀的設置","715","0","0","715"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","053","為位於西營盤的基督教香港信義會基恩幼兒學校進行更換冷氣工程","475","0","0","475"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","054","為山景長者護理院提升院舍醫院牀的設置","819","0","0","819"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","055","為馬鞍山長者地區中心暨日間護理單位以1輛新16座位石油氣私家輕型巴士更換現有的1輛14座位柴油私家輕型巴士","876","0","0","876"
"341","非經常補助金","221","香港大學","005","為3項網上青年外展試驗計劃進行評估研究","951","395","494","62"
"341","非經常補助金","221","香港大學","007","推行1項為期3年有關改善香港長期護理基礎設施的計劃","24676","6169","6169","12338"
"341","非經常補助金","243","鳳溪公立學校","006","為鳳溪護理安老院安老部提升院舍醫院牀的設置","416","0","216","200"
"341","非經常補助金","243","鳳溪公立學校","007","為鳳溪護理安老院以1輛新14座位石油氣私家輕型巴士更換現有的1輛13座位柴油私家輕型巴士","827","0","0","827"
"341","非經常補助金","248","榮頌團契有限公司","001","為位於小欖的1間藥物倚賴者治療康復中心進行修葺及改善工程及購置家具及設備的費用","5851","176","500","5175"
"341","非經常補助金","268","基督教靈實協會","025","為位於彩虹的靈實創毅中心進行翻新工程","6572","5709","463","400"
"341","非經常補助金","268","基督教靈實協會","027","於觀塘推行1項為期3年的體弱長者家居照顧服務試驗計劃","23760","18150","3618","1992"
"341","非經常補助金","268","基督教靈實協會","031","為坑口護理院進行消防及屋宇安全設施改善工程","548","0","492","56"
"341","非經常補助金","268","基督教靈實協會","033","為位於將軍澳的尚德中心進行翻新工程","2664","0","0","2664"
"341","非經常補助金","268","基督教靈實協會","034","為位於將軍澳的靈實護養院進行冷氣工程","1890","0","17","1873"
"341","非經常補助金","268","基督教靈實協會","035","為位於將軍澳的厚德中心進行翻新工程","2601","0","70","2531"
"341","非經常補助金","270","協康會","077","為搬遷位於慶華中心的特殊幼兒中心往薄扶林進行裝修工程","4372","3108","642","622"
"341","非經常補助金","270","協康會","078","為搬遷位於深水埗的白田早期教育及訓練中心進行裝修工程","4030","245","1700","2085"
"341","非經常補助金","270","協康會","080","為搬遷位於薄扶林的協康會慶華中心進行裝修工程","2369","0","0","2369"
"341","非經常補助金","270","協康會","081","為陳宗漢紀念中心以1輛新45座位柴油私家巴士更換現有的1輛45座位柴油私家巴士","1543","0","0","1543"
"341","非經常補助金","270","協康會","082","為1間位於觀塘的新早期教育及訓練中心進行裝修工程","3004","0","0","3004"
"341","非經常補助金","270","協康會","083","為1間位於觀塘的新早期教育及訓練中心購置家具及設備","889","0","0","889"
"341","非經常補助金","270","協康會","084","為位於薄扶林的協康會慶華中心進行重建工程(特別計劃)","104647","0","0","104647"
"341","非經常補助金","276","伸手助人協會","005","為位於西貢的樟木頭老人度假中心興建1間新的安老院和進行裝修工程及購置家具及設備","82198","71458","500","10240"
"341","非經常補助金","280","香海正覺蓮社","011","為佛教李嘉誠護理安老院進行翻新工程","5844","4905","0","939"
"341","非經常補助金","280","香海正覺蓮社","023","為佛教寶靜護理安老院提升院舍醫院牀的設置","1677","0","0","1677"
"341","非經常補助金","280","香海正覺蓮社","026","為佛教李嘉誠護理安老院提升院舍醫院牀的設置","2080","0","0","2080"
"341","非經常補助金","300","匡智會","052","為位於沙田的賽馬會匡智新翠工場暨宿舍進行翻新工程","6719","1443","4000","1276"
"341","非經常補助金","300","匡智會","057","為位於荃灣的匡智梨木樹中心(嚴重弱智人士宿舍部分)原址擴展進行改建工程及購置家具及設備","3551","3011","89","451"
"341","非經常補助金","300","匡智會","062","為位於柴灣的賽馬會匡智小西灣工場進行翻新工程","4555","4146","0","409"
"341","非經常補助金","300","匡智會","063","為位於天水圍的匡智瑞財中心及匡智瑞財宿舍進行翻新工程","8212","6987","0","1225"
"341","非經常補助金","300","匡智會","068","為位於大埔的匡智富亨宿舍進行翻新工程","6827","0","0","6827"
"341","非經常補助金","300","匡智會","078","為匡智元朗晨曦學校以1輛新29座位柴油私家巴士更換現有的1輛29座位柴油私家巴士","702","0","0","702"
"341","非經常補助金","320","香港佛教聯合會","004","為位於觀塘的佛教沈馬瑞英護理安老院進行翻新工程及購置家具及設備","14559","13299","0","1260"
"341","非經常補助金","320","香港佛教聯合會","007","為佛教沈馬瑞英護理安老院提升院舍醫院牀的設置","1378","0","0","1378"
"341","非經常補助金","340","香港基督教服務處","056","為蘇屋長者鄰舍中心遷往深水埗元洲邨進行裝修工程","3932","3050","0","882"
