year,head_no,actual,approved,revised,estimate
2006,1,6602930,6641323,6523305,6602103
2006,2,12640083,13771000,13816000,15361000
2006,3,127683767,130323000,141439576,140995813
2006,4,3416794,3888239,3872708,4016927
2006,5,949003,925007,942186,941942
2006,6,774707,654415,624685,627763
2006,7,13663770,13744017,13206791,16082269
2006,9,49710713,12249522,5824024,13262339
2006,10,3401493,3376379,3404212,3464414
2006,11,10793356,11107736,10897412,11228794
2007,1,6424366,6602103,6783794,6288796
2007,2,14146318,15361000,15407000,11552000
2007,3,144982283,140995813,155469672,149072610
2007,4,3894940,4016927,4386710,4464610
2007,5,987869,941942,981113,993053
2007,6,616059,627763,601820,781331
2007,7,13700857,16082269,21726937,20759466
2007,9,5745173,13262339,8699549,36354064
2007,10,3373900,3464414,3378601,3451134
2007,11,11109430,11228794,11760246,11983878
2008,1,7022969,6288796,6892113,6198696
2008,2,15467273,11552000,9273000,7333000
2008,3,155134636,149072610,196006451,162950517
2008,4,4334659,4464610,5320737,5570100
2008,5,1008698,993053,987944,1013477
2008,6,609964,781331,861698,870914
2008,7,21916293,20759466,27466197,35239322
2008,9,8422178,36354064,38057116,28794812
2008,10,3335675,3451134,3395069,3514019
2008,11,11672619,11983878,11920828,10394037
2009,1,7059525,6198696,6001208,6581811
2009,2,9494544,7333000,7240000,13899000
2009,3,200801441,162950517,189795405,149651588
2009,4,5552874,5570100,4823695,4080832
2009,5,996968,1013477,954602,1012499
2009,6,863270,870914,2353573,1004341
2009,7,28078385,35239322,36050533,29427839
2009,9,37993181,28794812,8478734,5279733
2009,10,3343639,3514019,3336187,3412827
2009,11,12296648,10394037,10533548,12120481
2010,1,6046654,6581811,6178421,6172405
2010,2,7174835,13899000,9205000,9375000
2010,3,192949724,149651588,174609032,167904243
2010,4,4980925,4080832,4332466,4552883
2010,5,1006391,1012499,936876,1013195
2010,6,2389088,1004341,1484481,2166300
2010,7,36306289,29427839,31079760,28854158
2010,9,8592659,5279733,9289314,4436881
2010,10,3320350,3412827,3382820,3480471
2010,11,10470305,12120481,10419104,10463066
2011,1,6464877,6172405,6960538,7797868
2011,2,9957161,9375000,9385000,11011000
2011,3,180135801,167904243,213628043,201769118
2011,4,4816338,4552883,6199158,7493607
2011,5,1182815,1013195,1108299,985679
2011,6,1596610,2166300,2381404,2410173
2011,7,31357535,28854158,33600508,34962266
2011,9,9223576,4436881,4114490,5834681
2011,10,3437835,3480471,3556638,3655386
2011,11,10486724,10463066,11022716,12510219
2012,1,7551086,7797868,8198254,8331645
2012,2,8955850,11011000,9693000,10471000
2012,3,210797234,201769118,235832670,216504833
2012,4,6657392,7493607,7544495,7360111
2012,5,1159047,985679,2554550,998279
2012,6,2451443,2410173,4360032,3096410
2012,7,33772161,34962266,36862743,36909720
2012,9,4098880,5834681,7796316,9281546
2012,10,3483357,3655386,3639003,3733808
2012,11,11362982,12510219,13010997,11408719
2013,1,7724742,8331645,8636570,8795794
2013,2,9722268,10471000,10939000,12971000
2013,3,238980135,216504833,247850034,247975970
2013,4,7070073,7360111,7759622,7651649
2013,5,2659647,998279,1115369,1057466
2013,6,4849249,3096410,2696633,3532472
2013,7,37238972,36909720,39200134,38525298
2013,9,7583523,9281546,20061965,9594676
2013,10,3573203,3733808,3718637,3821967
2013,11,13219207,11408719,11862389,11435631
2014,1,8976510,8795794,9161945,9321552
2014,2,11204421,12971000,14716000,20586000
2014,3,244053110,247975970,239845469,242600888
2014,4,7466089,7651649,7780294,8127405
2014,5,1208474,1057466,1820058,1123234
2014,6,2736265,3532472,4375723,2866399
2014,7,39521659,38525298,40586128,34771902
2014,9,19756500,9594676,7715046,6617465
2014,10,3686858,3821967,3835229,3957287
2014,11,11590146,11435631,11944920,14247966
