"總目(編號)","開支總目","核准
承擔額
$’000","截至
31.3.2014 止
的累積開支
$’000","2014-15
修訂預算
開支
$’000","結餘
$’000"
"22 ","漁農自然護理署","2404791","1135180","63889","1205722"
"33 ","土木工程拓展署","9500","3797","3440","2263"
"30 ","懲教署","33696","0","0","33696"
"31 ","香港海關","230324","11860","4244","214220"
"37 ","衞生署","162322","61645","6244","94433"
"92 ","律政司","20435","13678","800","5957"
"39 ","渠務署 ","24800","7013","2753","15034"
"44 ","環境保護署","13425260","732982","3167724","9524554"
"45 ","消防處 ","1292054","146357","57870","1087827"
"49 ","食物環境衞生署","348074","29244","48000","270830"
"166","政府飛行服務隊","2963500","563093","220","2400187"
"48 ","政府化驗所","101540","4326","38987","58227"
"59 ","政府物流服務署","8785","0","0","8785"
"152","政府總部：商務及經濟發展局(工商及旅遊科)","421047","140025","31497","249525"
"55 ","政府總部：商務及經濟發展局(通訊及科技科)","1396250","670287","153650","572313"
"144","政府總部：政制及內地事務局 ","458","0","0","458"
"138","政府總部：發展局(規劃地政科)","4200000","3025427","300000","874573"
"159","政府總部：發展局(工務科)","420000","153068","82174","184758"
"156","政府總部：教育局","4574527","580260","209840","3784427"
"137","政府總部：環境局","100000","39694","5000","55306"
"147","政府總部：財經事務及庫務局(庫務科)","22309000","19560027","1763400","985573"
"140","政府總部：食物及衞生局(衞生科)","1430800","169045","75925","1185830"
"53 ","政府總部：民政事務局","187574","24338","9464","153772"
"155","政府總部：創新科技署","215800","71414","51235","93151"
"141","政府總部：勞工及福利局","900000","108052","57525","734423"
"47 ","政府總部：政府資訊科技總監辦公室","295000","81247","22126","191627"
"142","政府總部：政務司司長辦公室及財政司司長辦公室 ","16200","6633","5310","4257"
"158","政府總部：運輸及房屋局(運輸科)","112873","1411","7694","103768"
"60 ","路政署","43000","33903","8097","1000"
"63 ","民政事務總署","144800","19842","22576","102382"
"122","香港警務處","1736231","535208","20591","1180432"
"70 ","入境事務處","9900","0","0","9900"
"90 ","勞工處","5236600","897698","400472","3938430"
"112","立法會行政管理委員會","131608","102642","8246","20720"
"95 ","康樂及文化事務署","908185","90441","21411","796333"
"100","海事處","146982","15443","4840","126699"
"106","雜項服務","466280","147171","58085","261024"
"114","申訴專員公署","2225","2050","100","75"
"116","破產管理署","10000","8921","0","1079"
"118","規劃署","27706","608","8665","18433"
"160","香港電台","254730","49790","22467","182473"
"170","社會福利署","4228000","501554","2655900","1070546"
"181","工業貿易署","134750000","3726776","496781","130526443"
"186","運輸署","298664","8931","31486","258247"
"194","水務署","3675","0","0","3675"
"173","在職家庭及學生資助事務處","6200000","3699911","188415","2311674"
