"總目(編號)","開支總目","2013-14
實際開支
$’000","2014-15
核准預算
$’000","2014-15
修訂預算
$’000","2015-16
預算
$’000"
"21","行政長官辦公室","94464","99112","101316","101508"
"22","漁農自然護理署","1149867","1395778","1194301","1233499"
"25","建築署","1760510","1806701","1843061","1892270"
"24","審計署","138253","144428","149187","152589"
"23","醫療輔助隊","74287","80590","80590","87279"
"82","屋宇署","1106303","1175901","1159652","1243103"
"26","政府統計處","557047","615131","591276","675314"
"27","民眾安全服務處","96196","95687","97030","99546"
"28","民航處","855633","862098","881315","903375"
"33","土木工程拓展署","1845860","2120406","2157375","2257938"
"30","懲教署","3278777","3366910","3451430","3519735"
"31","香港海關","2960851","3056587","3163670","3316890"
"37","衞生署","5606137","6093178","6006515","6470478"
"92","律政司","1351778","1795198","1725342","1980026"
"39","渠務署 ","2000981","2182147","2148745","2416746"
"42","機電工程署","502948","512903","510112","462437"
"44","環境保護署","7961302","6848374","6189029","6996144"
"45","消防處 ","4676837","5007243","4995510","5380447"
"49","食物環境衞生署","5329353","5667222","5794990","5923986"
"46","公務員一般開支","2809903","3170445","3050357","3351738"
"166","政府飛行服務隊","312188","367280","360499","583253"
"48","政府化驗所","409531","435759","433595","445799"
"59","政府物流服務署","511954","537179","537179","550992"
"51","政府產業署","1866265","1873206","1872625","1901449"
"143","政府總部：公務員事務局 ","484380","521385","527000","557046"
"152","政府總部：商務及經濟發展局(工商及旅遊科)","1480694","1644960","1666750","1829156"
"55","政府總部：商務及經濟發展局(通訊及科技科)","296821","314910","304505","340399"
"144","政府總部：政制及內地事務局 ","497496","582912","577153","580613"
"138","政府總部：發展局(規劃地政科)","537452","492049","476753","315760"
"159","政府總部：發展局(工務科)","396795","448025","422410","416442"
"156","政府總部：教育局","49731487","47369464","48086341","51382677"
"137","政府總部：環境局","68572","80408","78422","81433"
"148","政府總部：財經事務及庫務局(財經事務科)","230951","312895","235551","229784"
"147","政府總部：財經事務及庫務局(庫務科)","4531500","1883242","1978009","408697"
"139","政府總部：食物及衞生局(食物科)","74809","76150","76383","84292"
"140","政府總部：食物及衞生局(衞生科)","46692450","48507848","50185893","50400595"
"53","政府總部：民政事務局","16388205","1546324","1574104","1672933"
"155","政府總部：創新科技署","550979","587163","596367","620295"
"141","政府總部：勞工及福利局","15713109","753727","757404","801736"
"47","政府總部：政府資訊科技總監辦公室","670825","690227","699561","714743"
"142","政府總部：政務司司長辦公室及財政司司長辦公室 ","701076","833832","784155","853206"
"96","政府總部：海外經濟貿易辦事處","314183","333479","328907","355773"
"151","政府總部：保安局","276674","325154","315137","356065"
"158","政府總部：運輸及房屋局(運輸科)","179998","200136","199158","223327"
"60","路政署","2485815","2549814","2622391","2639769"
"63","民政事務總署","1970358","2183530","2217312","2370979"
"168","香港天文台","245768","259781","268485","275514"
"122","香港警務處","15144195","15515188","16410941","16800671"
"62","房屋署","2356518","261054","1335463","280437"
"70","入境事務處","3602630","3694051","3830774","3910311"
"72","廉政公署  ","909050","937127","968474","977866"
"121","獨立監察警方處理投訴委員會","50916","55988","57611","57282"
"74","政府新聞處","391215","408758","415773","449664"
"76","稅務局","1331804","1389503","1433298","1451062"
"78","知識產權署","121601","133516","135768","137480"
"79","投資推廣署","116135","114967","115999","115139"
"174","公務及司法人員薪俸及服務條件諮詢委員會聯合秘書處","30251","29704","31538","29191"
"80","司法機構","1198624","1356642","1286570","1437185"
"90","勞工處","1641286","1912412","1779971","1917957"
"91","地政總署","2087882","2162090","2216898","2265591"
"94","法律援助署","841508","833151","841040","845148"
"112","立法會行政管理委員會","679728","717691","731863","758559"
"95","康樂及文化事務署","6587022","6889307","7032874","7482663"
"100","海事處","1060721","1156473","1196277","1178092"
"106","雜項服務","198821","11915636","199636","23710238"
"180","電影、報刊及物品管理辦事處","39941","43790","43500","45393"
"114","申訴專員公署","102461","102816","107171","107146"
"116","破產管理署","139798","147624","149856","154373"
"120","退休金 ","23913477","27317100","26532050","29712370"
"118","規劃署","545906","607936","607212","629834"
"136","公務員敍用委員會秘書處","20434","20782","21561","21943"
"160","香港電台","723177","784477","778288","823102"
"162","差餉物業估價署","459786","479332","482612","501929"
"163","選舉事務處","81784","268299","185730","743819"
"169","截取通訊及監察事務專員秘書處","16855","18404","18683","21452"
"170","社會福利署","53658843","55909483","56359311","58349247"
"181","工業貿易署","803082","828458","817819","831089"
"186","運輸署","1852711","2063030","2039648","2534203"
"188","庫務署","341911","369410","369593","371085"
"190","大學教育資助委員會","15656765","15601731","16386303","16988115"
"194","水務署","6873476","7095920","7175492","7564794"
"173","在職家庭及學生資助事務處","4917424","5380592","5021871","5555255"
"184","轉撥各基金的款項 ","10893000","7519000","2529000","3130000"
